Track,Artist,Genre
Babe,Styx,Rock
The Rose,Bette Midler,Pop
Cars,Gary Numan,Synthpop
Magic,Olivia Newton-John,Pop
We Don’t Talk Anymore,Cliff Richard,Pop
Desire,Andy Gibb,Unknown
Real Love,Doobie Brothers,Unknown
Rock With You,Michael Jackson,Unknown
Sara,Fleetwood Mac,Unknown
Upside Down,Diana Ross,Unknown
Escape (THE Piña Colada Song),Rupert Holmes,Unknown
Him,Rupert Holmes,Unknown
Lady,Kenny Rogers,Unknown
It’s Still Rock And Roll To Me,Billy Joel,Unknown
On The Radio,Donna Summer,Unknown
Still,Commodores,Unknown
Another One Bites The Dust,Queen,Unknown
Longer,Dan Fogelberg,Unknown
Please Don’t Go,KC and the Sunshine Band,Unknown
All Out Of Love,Air Supply,Unknown
Call Me,Blondie,Unknown
Crazy Little Thing Called Love,Queen,Unknown
Daydream Believer,Anne Murray,Unknown
Cruisin’,Smokey Robinson,Unknown
Dreaming,Cliff Richard,Pop
More Love,Kim Carnes,Unknown
This Is It,Kenny Loggins,Unknown
Woman In Love,Barbra Streisand,Unknown
Fire Lake,Bob Seger and the Silver Bullet Band,Unknown
Sailing,Christopher Cross,Unknown
Against The Wind,Bob Seger and the Silver Bullet Band,Unknown
Biggest Part Of Me,Ambrosia,Unknown
Do That To Me One More Time,Captain & Tennille,Unknown
I Can’t Tell You Why,Eagles,Unknown
Ride Like The Wind,Christopher Cross,Unknown
Coward Of The County,Kenny Rogers,Unknown
How Do I Make You,Linda Ronstadt,Unknown
Jane,Jefferson Starship,Unknown
Off The Wall,Michael Jackson,Unknown
Shining Star,The Manhattans,Unknown
The Wanderer,Donna Summer,Unknown
Don’t Do Me Like That,Tom Petty and the Heartbreakers,Unknown
Give Me The Night,George Benson,Unknown
Lost In Love,Air Supply,Unknown
You May Be Right,Billy Joel,Unknown
Fame,Irene Cara,Unknown
Hurt So Bad,Linda Ronstadt,Unknown
Coming Up,Paul McCartney,Unknown
Funkytown,Lipps Inc,Unknown
Ladies’ Night,Kool & the Gang,Unknown
Master Blaster (JAMMIN’),Stevie Wonder,Unknown
Stomp!,The Brothers Johnson,Unknown
Let My Love Open The Door,Pete Townshend,Unknown
One Fine Day,Carole King,Unknown
Steal Away,Robbie Dupree,Unknown
The Long Run,Eagles,Unknown
Cool Change,Little River Band,Unknown
Into The Night,Benny Mardones,Unknown
She’s Out Of My Life,Michael Jackson,Unknown
Drivin’ My Life Away,Eddie Rabbitt,Unknown
Head Games,Foreigner,Unknown
I Wanna Be Your Lover,Prince,Unknown
Lookin’ For Love,Johnny Lee,Unknown
Late In The Evening,Paul Simon,Unknown
Little Jeannie,Elton John,Unknown
Sexy Eyes,Dr. Hook,Unknown
Too Hot,Kool & the Gang,Unknown
"Yes, I’m Ready",Teri DeSario & KC,Unknown
Emotional Rescue,The Rolling Stones,Unknown
He’s So Shy,the Pointer Sisters,Unknown
The Second Time Around,Shalamar,Unknown
"Working My Way Back To You/Forgive Me, Girl",The Spinners,Unknown
Xanadu,Olivia Newton-John / Electric Light Orchestra,Unknown
Look What You’ve Done To Me,Boz Scaggs,Unknown
Jesse,Carly Simon,Unknown
All Over The World,Electric Light Orchestra,Unknown
An American Dream,The Dirt Band,Unknown
Tired Of Toein’ The Line,Rocky Burnette,Unknown
Better Love Next Time,Dr. Hook,Unknown
Hot Rod Hearts,Robbie Dupree,Unknown
No More Tears (ENOUGH Is Enough),Barbra Streisand & Donna Summer,Unknown
Let Me Love You Tonight,Pure Prairie League,Unknown
Hold On To My Love,Jimmy Ruffin,Unknown
I’m Alright,Kenny Loggins,Unknown
Let’s Get Serious,Jermaine Jackson,Unknown
Breakdown Dead Ahead,Boz Scaggs,Unknown
With You I’m Born Again,Billy Preston and Syreeta,Unknown
Send One Your Love,Stevie Wonder,Unknown
Cupid/I’ve Loved You For A Long Time,The Spinners,Unknown
Special Lady,"Ray, Goodman & Brown",Unknown
Never Knew Love Like This Before,Stephanie Mills,Unknown
Take Your Time (DO It Right),The SOS Band,Unknown
You’re Only Lonely,J.D. Souther,Unknown
Pilot Of The Airwaves,Charlie Dore,Unknown
"Another Brick In The Wall, Part Ii",Pink Floyd,Unknown
Romeo’s Tune,Steve Forbert,Unknown
I’m Coming Out (#5*),Diana Ross,Unknown
Brass In Pocket (I’M Special),The Pretenders,Unknown
Don’t Fall In Love With A Dreamer,Kenny Rogers & Kim Carnes,Unknown
